Organization Name,Short Name,Category,Summary,Description
Developpe Dance Club,DDC,Performing,"The Developpe Dance Club gathers those who love ballet and contemporary dance. We welcome dancers at all levels to join us, have classes, and attend events. We hope to build a welcoming community for ballet and contemporary dancers at UW.","Developpe Dance Club gathers those who love ballet and contemporary dance. It is a fun dance club that welcomes dancers at all levels to join us and have classes together. We hope to build a welcoming community for ballet and contemporary dancers at UW. We have weekly ballet and contemporary classes taught by our teaching team. Dance classes are offered at both beginner and advanced levels, depending on our member's dance experience, ability, and preference. We also hope to offer special classes such as master classes and dance classes in other styles. There would also be events, like going to UW dance department shows together, to build community throughout the quarter. At the end of the academic year, we also hold a public performance to give members a chance to choreograph and perform. For information about when our events are and how to join, please visit our Instagram @developpedanceclub"
Diagnostic and Interventional Radiology Interest Group,DIRIG,"Academic, Graduate/Professional, Medical/Dental/Nursing/Pharmacy","DIRIG at UW School of Medicine offers students early exposure to diagnostic imaging and interventional procedures through workshops, mentorship, and networking, fostering collaboration and highlighting radiology’s evolving role in patient care.","The Diagnostic and Interventional Radiology Interest Group (DIRIG) at the University of Washington School of Medicine provides medical students with opportunities to explore and engage with the diverse fields of diagnostic and interventional radiology. Recognizing the natural overlap and shared interest between these specialties, the group fosters a collaborative environment for students to learn about imaging, image-guided procedures, and the evolving role of radiologists in patient care. Through educational events, hands-on workshops, mentorship opportunities, and networking with residents and faculty, DIRIG supports students in gaining early exposure to radiology and developing the skills and knowledge necessary to pursue future careers in the field."
Disc Golf Club at The University of Washington,DGCUW,Sports,"To promote the sport of Disc Golf among the UW community, and to connect with other students interested in Disc Golf.","To promote the sport of Disc Golf among the UW community, and to connect with other students interested in Disc Golf. Please reach out if interested! Looking for a team name. Husky Hurlers, Husky Dream Catchers, the Sun Chasers, etc."
Diversity in Business,DiBs,Business,The Foster Diversity in Business club (DiBs) is a space to embrace the range and depth of individuals in the Foster MBA program. We host events and workshops to celebrate traditional and non-traditional diversity identifiers.,"Diversity in Business (DiBs) was founded to bring the value of racial diversity to the forefront of Foster. We also recognize that race is one of many identities an individual claims. Students who identify as a person of color (POC) also hold other identities based on their nationality, culture, gender and sexual orientation, able-bodiedness, profession, and more. With this in mind, DiBs strives to build an inclusive space within Foster while also seeking opportunities for collaboration among the school&rsquo;s identity-based and professional clubs. DiBs welcomes members of all backgrounds to learn from each other's experiences and build a more inclusive community at Foster."
Doctor For A Day ,,Health Sciences,The aim is to inspire and encourage middle and high school students of color to consider medicine and other health professions as viable career opportunities. This occurs through themed based events that offer hands-on activities.,https://youtu.be/Hj8A9xB94vE?si=kmKA0UOle42Zimlq
Doctoral Student Association in the Information School,DSA,Graduate/Professional,To support the welfare for doctoral students in the iSchool.,"To support the welfare for doctoral students in the iSchool: To provide official channels for communication between PhD students and the faculty of the Information School. To provide official channels for communication between PhD students and administration of the Information School. To provide opportunities for social, cultural, and professional activities for the students. To support PhD students in their endeavors as students and as future contributors to Information Science."
Doctors for America at University of Washington,DFA at UW,"Graduate/Professional, Medical/Dental/Nursing/Pharmacy, Political/Social Action","Doctors for America at UW mobilizes healthcare professionals in-training to be leaders in putting patients over politics in the pressing of the day to improve the health of our patients, communities, and nation.",
Dream Volunteers UW Chapter,DV,"Political/Social Action, Special Interest","We aim to empower students to become changemakers through local service, fundraising, and engagement with the Dream Volunteers organization.","We aim to empower students to become changemakers through local service, fundraising, and engagement with the Dream Volunteers organization. All students are welcome to join us for our events! Make sure to follow our Instagram and join our Google Calendar/email list(see our linktree below) for more information! linktr.ee/dvhuskies"
Dub Club Baseball,DCB,"Recreation, Sports",A competitive baseball team that competes in the D1 National Club Baseball Association.,"A competitive, traveling baseball team, of and run by UW students. We play in the National Club Baseball Association (NCBA) which plays other baseball teams in the Northwest US. We are currently in the Division I Northern Pacific-West Conference. Our current game slate includes at least a series against club teams against Oregon, Oregon State, Gonzaga, and Western Washington. Please get in touch with uwbaseballclub@gmail.com or find us on Instagram with any questions. Visit our website for more information&mdash; anyone is welcome to try out and practice (no prior baseball experience required)."
Dub's Art Club,DAC,Recreation,Dub's Art Club is a registered student organization at the University of Washington Seattle for artists and art enthusiasts to share and create art together!,"Dub's Art Club is a registered student organization at the University of Washington Seattle for artists and art enthusiasts to share and create art together! We are open to all members of the UW community, including UW Bothell and Tacoma students, as well as UW alumni. We are not involved with UW's art department. Our club and activities are purely for fun and community building. Important Links: https://dubsartclub.my.canva.site/ - If you are interested in getting in contact with Dub's Art Club, feel free to DM us on our Instagram or message us on our Discord-- - Check out our Instagram for latest news and events!"
DubHacks,DH,Engineering,"The purpose of this organization to bring individuals together to connect, empower, and create using various technologies.",DubHacks is a tech and entrepreneurship non-profit in Seattle run by students at the University of Washington. We bring together students of all backgrounds to tackle the issues they are most passionate about. Let's build tomorrow together.
Dubshot Photography Club,DPC,Special Interest,"Calling all aspiring and passionate photographers! Dubshot is your one-stop-shop for learning, creating, and experimenting with photography throughout Seattle and on-campus.","Dubshot Photography Club at the University of Washington offers active membership to all University of Washington students and alumni who have an interest or passion for photography. Our goals are: To provide a friendly and supportive platform for photography enthusiasts to share their creativity, knowledge and passion for photography To explore the opportunities for photography projects and activities, such as photo walks, field trips, museum and gallery visits, and workshops given by guest speakers To appreciate photographers with all levels of experience and interests in all styles of photography"
DubsTech,,"Academic, Engineering","DubsTech is the largest tech community at UW. We aim to help students grow their tech skills by organizing a variety of open-to-all workshops, competitions, talks, and more. Irrespective of your major, background, or skill level, everyone is welcome!","We at DubsTech aim to help students grow their tech skills. We organize a variety of open-to-all workshops, competitions, talks, and more. We've had guest speakers from various tech companies such as Google, Amazon, Microsoft, Facebook, and more. We&rsquo;re also known for holding UW&rsquo;s first data science hackathon, the Datathon, and the only UX competition on campus, the Protothon! Here, participants test their rapid prototyping and design thinking skills in two industry inspired, time-sensitive design challenges, and help design for the future. Irrespective of your major, background, or skill level, everyone is welcome!"
DyVest Investment Club,DyVest,Business,"Based in Seattle, we are a student-run organization at the UW that help students learn about finance and investment. Ultimately, we want to build a community where students can chat about finance and investment, meet new friends, and grow professionally.","Based in Seattle, we are a student-run organization at the UW that help students learn about finance and investment. Ultimately, we want to build a community where students can chat about finance and investment, meet new friends, and grow professionally."
E-Truck,E-Truck,"Academic, Engineering",Our goal is to convert a class 7 diesel truck into a battery-powered electric truck.,We are a group of excited students who are pursuing greener technology. We want to convert a class 7 diesel into a battery-powered electric truck.
Early Entrance Drama Society,EDS,Performing,EDS provides performance opportunities for Early Entrance and UW Academy students and entertains the Robinson Center community and beyond.,"The Early Entrance Drama Society (EDS) is a registered student organization open to all Early Entrance and UW Academy students interested in drama. Each year we put on a theatrical performance for the local community and organize drama-related events. Whether you're a lifelong drama enthusiast, or are just interested in trying something new, EDS has something for you!"
Earthquake Engineering Research Institute at UW,EERI at UW,Engineering,"The purpose of EERI UW is to prepare future leaders in earthquake engineering, science, and policy through interdisciplinary dialogue, professional engagement, and public outreach.","The purpose of EERI UW is to prepare future leaders in earthquake engineering, science, and policy through interdisciplinary dialogue, professional engagement, and public outreach."
East African Student Association at UW,EASA,Cultural/International,The purpose of the East African Student Association at the University of Washington is to create a safe space to discuss various East African experiences and points relating to communities and countries within the East African boundaries.,"The East African Student Association was created in order to provide a safe space to discuss various East African issues and points relating to communities and countries within the East African boundaries. The East African Student Association is dedicated to building community and hosting events that will allow students to share and celebrate East African cultures and aspects. Note: The East African Student Association does not exclude students amongst gender, race, class, sexual orientation etc. The East African Student Association is not exclusive to East African students and is welcome to all."
Eat Together,,Recreation,"Eat Together is on a mission to improve the student bonding experience at UW via food. We have built a mobile app that allows students to meet other students via year-round food meetups on campus, and we aim to organize meetups of our own as well!",
Eco-Build at the University of Washington,Eco-Build,"Academic, Engineering, Environmental, Graduate/Professional, Political/Social Action, Special Interest","We are a multicultural and multi-departmental competition club, focusing on building science developments! We focus on researching and applying sustainability techniques in design projects regarding architecture, engineering, urban design and more!","***First Meeting is Oct 1st in Gould 440 at 6pm!! come on in if you are interested!!*** We welcome anyone interested in developing their understanding and application of sustainable sciences. We have a huge focus on Architecture, Urban Design, Landscape Architecture, various Engineering departments, Ecological Preservation, and especially researching trends and applications of sustainability within our projects. We are also aiming to build community relationships both inside and outside of UW! Come join us to figure out how that can look! The Eco-Build at UW Club is affiliated with the Northwest Eco-Build Guild, a larger community of builders, designers, and partners concerned about ecological building in the Pacific Northwest. With numerous partners and educational opportunities, we aim to enhance relationships between communities and our built environment. Being affiliated with the NW Eco-Build Guild grants us access to a great many opportunities and benefits upon a $25/yr membership fee, including hard-hat tours, field trips, educational series, lecture series, and more! **NOTE: the $25 membership fee IS NOT REQUIRED to be an active member of the UW club. The Membership fee is for membership to the Parent Organization, but the fee is required to access the benefits. Membership fees are renewed once per year. Your paying for the fee is what pays for the benefits! The more people who are members, the more we can afford to do!** *** Autumn 2025 Quarter meetings are in Gould 440 on M/W between 6-8 pm *** We are currently starting up and establishing as a non-profit organization, and want to develop a multicultural and multidisciplinary environment! We have a keen interest in developing a friendly, Sustainably-Minded and Multicultural Society here at UW, and are constantly looking to do so. RSO Leaders who want to establish a club connection, please reach out to Atticus at brandoty@uw.edu!"
Economics Club at Uw,ECUW,Academic,"The Economics Club aims to enhance members' understanding of economic principles, foster professional development, and facilitate networking opportunities. It aims to organizes events, discussions, and research activities promoting educational enrichment","The Economics Club is dedicated to deepening members' knowledge of economic principles while fostering both personal and professional growth. By organizing events such as guest speaker sessions, workshops, and debates, the club creates a platform for learning and exchanging ideas. Members will also engage in research activities, collaborative discussions, and group projects to expand their understanding of current economic issues. Additionally, the club aims to provide valuable networking opportunities, connecting students with industry professionals, alumni, and peers. Through these initiatives, the Economics Club strives to prepare students for future careers and promote educational enrichment in the field of economics."
Electronic Music Producers at UW,EMP@UW,Performing,"We aspire to bring together a diverse group of music producers of all backgrounds and skill levels. Meetings include collaboration, challenges, guest speakers, seminars, and more! Join our Discord to be a part of our community: https://discord.gg/gDwzvgm","We aspire to bring together a diverse group of music producers of all backgrounds and skill levels. Meetings include collaboration, challenges, guest speakers, seminars, and more! For autumn quarter, we meet weekly in MEB 250 on Mondays at 5:30pm PST. Feel free to drop in and out of meetings anytime, we're pretty flexible. If you're unable to make this time, you're free to participate in our Discord server and take part in our weekly challenges and longer term collaborations. All announcements and communication will be held via Discord: https://discord.gg/gDwzvgm Everyone is welcome!"
Elohim Club,IUBA,Religious/Spiritual,"Elohim promotes academic study of the Bible by examining the intersection between Bible prophecies, human history, and scientific discovery, by investigating the reasons for observing God's commandments, and by exploring religious reformation in this age","Elohim promotes the academic study and practice of God's Word in the Bible, specifically to spread the news of religious reformation by teaching the reasons for observing God&rsquo;s commandments and examining the intersection between Bible prophecies, human history, and scientific discovery, as it relates to the modern age. Elohim also focuses on carrying out volunteer services, which benefit our local community, in accordance with Christ&rsquo;s command to &ldquo;love our neighbors&rdquo;."
EMER Hiphop,,Performing,"We offer a stage for UW students who interested in Hiphop and Asian raps. We mainly provides the tutoring for writing raps, singing raps and the meeting for sharing and communicating raps.",我们为热爱嘻哈唱歌和说唱的人们提供一个表演、制作和享受的舞台。
Emergency Medical Services at the University of Washington,,"Graduate/Professional, Medical/Dental/Nursing/Pharmacy","Our primary goal is community outreach for UW students who are EMTs or planning to be EMTs. We will provide CPR/AED, First Aid and Naloxone training and host community social events. We will also help guide students through the EMT certification process.",
Emergency Medicine Interest Group,EMIG,Medical/Dental/Nursing/Pharmacy,"EMIG is a student-run organization within UWSOM whose goals are to introduce students to emergency medicine and to stimulate interest in this exciting field. In general, the club's activities consist of organizing skill","EMIG is a student-run organization within UWSOM whose goals are to introduce students to emergency medicine and to stimulate interest in this exciting field. In general, the club's activities consist of organizing skills workshops, coordinating informational talks, and connecting students with existing EM resident events. Some of these have become extremely popular, including hands-on ultrasound practice, an intubation and airway workshop, and a discussion about residency and research opportunities in EM. Additionally, we have been lucky to have the support of many outstanding faculty members at the UW and Harborview ED. https://em.uw.edu/education/emig"
End Overdose,,Political/Social Action,"End Overdose is a non-profit based out of Los Angeles, California. Our goal is to end overdose-related deaths through harm reduction training and the distribution of resources such as Narcan and Fentanyl testing strips.","End Overdose is a registered student organization that is working towards ending drug-related overdose deaths through education, medical intervention, and public awareness. We work with the University of Washington and the Seattle community to distribute Narcan and fentanyl testing strips. Our events include education training and awareness presentations, tabling on campus or at events such as Beyond Wonderland at the Gorge, and many more!"
ENGAGE! Civics and Democracy Advocates,ENGAGE!,Political/Social Action,"Non-partisan advocates for more informed and politically engaged citizens. We are dedicated to electoral reform, improving voter turnouts, and empowering US citizens to govern themselves.",
Engineering Horizons Club At UW,EHC at UW,"Engineering, Sciences, Special Interest",The Engineering Horizons Club at UW offers hands-on opportunities and experiences to help you discover the engineering field you are most interested in.,"The Engineering Horizons Club is your gateway to exploring the limitless possibilities of engineering disciplines. Many students face the challenge of deciding on a career path in engineering without truly knowing what it entails or whether they&rsquo;ll enjoy the work. The Engineering Horizons Club was created to solve this problem, offering hands-on opportunities for you to explore various types of engineering and discover where your passion lies."
Engineering in Photographer's Approach,ENPHO,"Academic, Engineering, Environmental, Health Sciences, Recreation, Sciences","We are both photographers and engineers. We focus on applying engineering technologies to the real world, incorporating them into imaging and observational innovations.",
Engineers In Action University of Washington Chapter,EIA,Engineering,EIA is a nonprofit organization that works to design and build suspended footbridges to connect isolated communities to essential resources in collaboration with community members and professional partners.,"Engineers in Action is an engineering nonprofit that works to not only improve the local infrastructure, but also empower the community that uses it. The positive impact that EIA has had on rural areas ranges from clean drinking water and sanitation, to footbridges that connect isolated communities to essential services and resources. Working with over 40 universities, the EIA bridge program has built more than 110 footbridges since 2016. EIA focuses on the crucial aspect of local involvement, with volunteers working alongside the community. These bridges have effectively served 150,000 people and EIA continues to focus on 50 communities each year and support the work of new generations of globally minded engineers. We provide students an opportunity to work with industry professionals on real engineering projects to develop as global leaders as well as open minded engineers. All while connecting isolated communities to essential services and providing access to opportunities for self-improvement."
Engineers of Art,EoA,Engineering,"We are a club that strive to bridge the worlds of engineering and the different branches of art, inspiring creativity and innovation at their intersections through workshops, projects, and other events that elevate art through technology.",
Engineers Without Borders - University of Washington Student Chapter,EWB-UWS,Engineering,"EWB-UWS supports community-driven development programs worldwide by collaborating with local partners to design and implement sustainable engineering projects, while creating transformative experiences and responsible leaders","EWB-UWS supports community-driven development programs worldwide by collaborating with local partners to design and implement sustainable engineering projects, while creating transformative experiences and responsible leaders. GENERAL MEETINGS will be Wednesdays from 5:30-6:30pm in MEB 248. See you there!"
Entertainment Law Association,ELA,Law,Law Students who love entertainment and are interested in growing their understanding of the field and the industry. The goal is to be social and to grow our networks in the field.,The Entertainment Law Association is dedicated to helping students pursue legal careers in the ever-growing entertainment and sports industries. The group sponsors guest speakers including UW Law alumni who have enjoyed successful careers in entertainment and sports law.
Entrepreneurship Club at the University of Washington,ENTRE,"Academic, Business, Honorary",The Entrepreneurship Club at the University of Washington is the premier undergraduate organization dedicated to empowering students with the skills and knowledge essential for business development and personal growth.,"The Entrepreneurship Club at the University of Washington is the premier undergraduate organization dedicated to empowering students with the skills and knowledge essential for business development and personal growth. Our club offers comprehensive entrepreneurship training, workshops, speaker events, networking opportunities, online resources, and more. Join us at the University of Washington Entrepreneurship Club to ignite your entrepreneurial spirit, develop essential skills, and connect with a community of aspiring innovators!"
Environmental Law Society,ELS,Law,"The Environmental Law Society (“ELS”) is an intersectional environmental advocacy organization committed to providing a forum for members of the University of Washington School of Law to engage with local, national, and global environmental issues.","The University of Washington Environmental Law Society is a community of students interested in environmental, natural resource, and land use law. We help students connect with the environmental legal community in the greater Pacific Northwest, learn about opportunities for legal jobs and professional development, and build an inclusive community within the law school. Each year, we organize a pro bono project that provides a wonderful opportunity for law students to gain practical legal experience&mdash;in the coming year, we hope to work on projects related to environmental justice. We also host several educational events each year, from career panels to expert discussions on current environmental issues. Additionally, we provide mentorship opportunities within the law school, help students with environmental course planning, organize outdoor events, and endeavor to educate and recruit prospective students from diverse backgrounds about opportunities in environmental law. ELS works with other student organizations to promote equitable access to a healthy environment through racially conscious programming, events, and publications. For more information, please contact Natalie Silver (ngsilver@uw.edu) or Emma Cox (emmac219@uw.edu) or visit our website at https://sites.uw.edu/envirlaw/. Join ELS by subscribing to our mailing list for updates on meetings, events, and intern/job positions:SUBSCRIBE."
Environmental Policy Student Association,EPSA,Environmental,"Join us for weekly meetings to engage with peers, professors, and professionals on a range of environmental policy and activism topics! We aim to center intersectionality, climate justice, & environmental justice at the heart of environmental policy.",EPSA is an RSO that is dedicated to centering justice and intersectionality at the foundation of environmental policy. EPSA empowers UW undergrads through knowledge sharing and professional development by connecting peers with one another and to experts in the field.
Enzyme,,Health Sciences,"Enzyme is an academic and literary journal that catalyzes discussions in disparities in health, providing students with a platform to voice their narratives and convey vital medical information.",
ESS GeoClub at UW,GeoClub,Sciences,"Our goal is to encourage personal, academic, and professional interest in geology and all related disciplines by helping students make connections and find opportunities outside the classroom.","Our goal is to encourage personal, academic, and professional interest in geology and all related disciplines by helping students make connections and find opportunities outside the classroom. We organize field trips - both local and long distance - and try to connect undergraduates, graduate students, and faculty members in informal settings. We also encourage undergraduate research and hope to provide a forum within the department for undergraduates to refine and present their works in progress."
Eta Mu Beta Flag Football Club,HMBFFC,Sports,This organization is for members of the husky marching band to be able to exist as a group entity which will be utilized to reserve campus facilities and spaces for practicing and playing flag football.,"An organization for members of the Husky Marching Band who greatly enjoy playing flag football recreationally in the offseason. This club exists to create a centralized unit of membership for members to identify with and practice with, as well as allowing members to reserve spaces and fields for practice and playing pick up games of flag football, with flags taking the place of a high contact sport."
Ethiopian Orthodox Tewahedo Church (EOTC) Mahibere Kidusan Campus Ministry at the University of Washington,EOTC MK Campus Ministry at UW,"Cultural/International, Religious/Spiritual","The Ethiopian Orthodox Tewahido Church (EOTC) Mahibere Kidusan Campus Ministry at UW is dedicated to spreading the teachings of Jesus Christ, fostering faith, and promoting spiritual and professional growth among students.","Rooted in the Ethiopian Orthodox Tewahido Church, the EOTC Campus Ministry by Mahibere Kidusan aims to spread the gospel of our Lord and Savior Jesus Christ within the University of Washington community and among other students of higher education in the area. Students will have the opportunity to deepen their faith and understanding of the teachings of the Ethiopian Orthodox Tewahedo Church (EOTC), conduct studies and research on the Holy Orthodox Tewahedo Church, and collaborate on their personal, spiritual, and professional growth."
Evans Student Organization,ESO,Graduate/Professional,"ESO is a group of elected Evans student leaders to serve as the liaison between Evans students' and faculty/administration. We represent and address the needs of our students, support student programming, and strengthen our Evans community.","The Evans School Student Organization (ESO) serves as the liaison between the Evans School student body and the faculty and administration. ESO places students on most faculty committees and plays a key role in: Developing curriculum, overseeing student organizations, hiring faculty members, shaping academic policies, hosting community events, and overall enhancing student life at the Evans School."
Evergreen Botanicals,EB,Environmental,"The best plant club at UW! Join this club if you love plants, want to get into plants, or are simply a plant enthusiast. Indoor and outdoor plant lovers welcome! We do plant swaps, terrarium workshops, plant care workshops, and more!","Evergreen Botanicals seeks to encourage community building through a mutual interest in indoor and outdoor plant keeping at the University of Washington. Our goal is to provide a safe space and community for anybody with a general interest in plants, provide workshops and meetings which relate to plants and plant care, provide outings to local gardens, greenhouses, plant businesses, and green spaces, and provide opportunities for leadership through the leading of workshops or outings. Feel free to join our discord and find our meeting times on our instagram!"
Examined Life at UW,,"Academic, Political/Social Action","A forum for open discussion of social, political, and philosophical topics allowing for engagement and development of individuals’ ideas and opinions in an accessible and non judgmental atmosphere.","&ensp;&ensp;&ensp;&ensp;&ensp;A forum for open discussion of social, political, and philosophical topics allowing for engagement and development of individuals&rsquo; ideas and opinions in an accessible and non judgmental atmosphere. Check out the link or Instagram for more information about meeting times and topics! Thursdays @ 6pm in Sieg 227 (Spring 2025)"
Excursion Club,,"Recreation, Sports","Crossing off bucket list adventures across Washington's beautiful outdoor scenery, invite local athletes to showcase their sport and lead excursions, and explore the hidden gems across the Pacific Northwest.","To host monthly outdoor adventures across Washington's beautiful outdoor scenery, invite local athletes to showcase their sport and lead excursions, and explore the hidden gems across the Pacific Northwest. Activities may include but are not limited to snowshoeing, trapezing, and scuba diving."
Extended Reality Association,XRA,Engineering,"Aiming to build a multi-disciplinary community at the University of Washington dedicated to scholars interested in exploring and creating Virtual Reality, Mixed Reality, and Augmented Reality experiences.","Building a multi-disciplinary community at the University of Washington dedicated to scholars interested in exploring and creating Virtual Reality, Mixed Reality, and Augmented Reality experiences. XRA is a multi-disciplinary community of scholars at UW who enjoy VR/AR/MR while increasing interest and accessibility to these technologies across campus."
Family Medicine Interest Group,FMIG,Health Sciences,To promote a greater understanding of Family Medicine for medical students.,To promote a greater understanding of Family Medicine among medical students.
Fashion Law Association ,FLA,Law,"The goal of the FLA is to unite a group of law students with a shared interest in the fashion industry. FLA will also provide resources, networking opportunities, and a community for UW law students interested in the fashion law industry.",
Figure Skating at UW,,Sports,"We are a figure skating team at UW that conducts group practices at Kraken Community Iceplex. Interested candidates do not have to have any skating experience! Additionally, we hold team bonding events and fundraisers. Please email if interested!","Figure Skating at UW is a recreation and competitive team designed to give students the opportunity to pursue the sport of figure skating. We host monthly private practices, coordinate with Kraken Iceplex to give weekly collegiate freestyle ice time, and compete within the Pacific Coast region against other Collegiate Teams. We were lucky to attend Nationals in 2024 and are passionate at cultivating an open environment for all levels of learners to enjoy our sport. Beginners are encouraged to join and many of our upper level skaters provide coaching. This team is associated with an annual fee. Visit our instagram @uwfigureskating for more information."
Fil-Am Sa CBE,,"Cultural/International, Graduate/Professional, Political/Social Action, Special Interest","Fil-Am Sa CBE (Filipino-Americans at the College of Built Environments) seeks to connect past, present, and future Filipino CBE students, celebrating Filipino heritage within the Built Environment while serving the Filipino community of Seattle.","Vision Statement: We see our organization connecting past, present, and future CBE Filipino students, while serving the Filipino community of Seattle through outreach, community building, and design. Mission: Together, we will connect past alumni, present cohorts, and future students to strengthen the Filipino identity within the built environments communities and create an inclusive affinity group that celebrates the Filipino culture and heritage."
Filipino American Student Association,FASA sa UW,Cultural/International,"The mission of the Filipino American Student Association at the University of Washington shall be to foster unity and pride among its members and surrounding community through educational, political, cultural and social advancement.","The mission of the Filipino American Student Association at the University of Washington shall be to foster unity and pride among its members and surrounding community through educational, political, cultural and social advancement. Sayaw Filipino Folk Dance Troupe Website"
Filipino Law Student Association at the University of Washington,FLSA,Law,The Filipino Law Students Association also known as FLSA at the University of Washington School of Law endeavors to create an inclusive and supportive environment for Filipino students and its allies.,
Filipinx Association for Health Careers,FAHC at UW,Health Sciences,"FAHC is a support and awareness organization at the University of Washington. Our purpose is to provide personal, social, and academic support to students interested in pursuing a health-related career while promoting Filipinx-related health issues.","​FAHC UW was founded as a sister organization of UC Davis FAHC on October 2015 at the University of Washington, Seattle. Our mission is to provide academic and social support to all students interested in pursuing a health-related career. We believe in promoting Filipinx and Filipinx-American health issues and cultural awareness. FAHC UW strives to provide opportunities and resources for members to learn, grow, and gain skills to achieve their full potential."
Film Club at the UW,UWFC,Special Interest,Film Club is the main hub of film culture on the University of Washington's Seattle campus. Through weekly film programming Film Club promotes a community for Husky cinephiles. We strive to create opportunities to discuss and explore film.,"Film Club is the main hub of film culture on the University of Washington's Seattle campus. Through weekly film programming Film Club promotes a community for Husky cinephiles. We strive to create opportunities to discuss, create, and explore film and film culture in Seattle and aboard."
First Generation Business Leaders,FGBL,Business,Mission: to facilitate transition to college for first generation students through initiatives such as proving mentorship networks and sharing academic and social resources among members and to build a community among first generation college students,Mission: (1) To facilitate transition to college for first generation students through initiatives such as providing mentorship networks and sharing academic and social resources among members; (2) To help first generation students develop professionally and personally; (3) To build community among first generation UW students; (4) To provide the first generation student community a platform to express its voice and advocate for themselves.
First Generation Dental Student Association,FGDSA,Medical/Dental/Nursing/Pharmacy,We strive to address the integration of first-generation dental students into the UWSOD and the health profession through mentorship and career advising.,"First Generation Dental Student Association at the University of Washington (FGDSA) is a student-led group that fosters professional support for first-generation dental students at the University of Washington School of Dentistry (UWSOD). We strive to address the integration of first-generation dental students into the UWSOD and the health profession through mentorship and career advising. Our goals are (1) to help first-generation dental students develop professionally and personally, (2) to build a strong community to support first-generation dental students, and (3) to serve as a platform to allow first-generation to advocate themselves and to express their voices."
First Generation Law Students Association,(FGLS),Law,"FGLS is a student-led group that strives to address the transition and integration of first-generation law students into the University of Washington School of Law and the legal profession through mentorship, career advising, and social activities.","First Generation Law Student Association at the University of Washington (FGLS) is a student-led group that strives to address the transition and integration of first-generation law students into the University of Washington School of Law and the legal profession through mentorship, career advising, and social activities. FGLS&rsquo;s goal is to create a diverse community that fosters inclusiveness, well-being, and professional support throughout students&rsquo; time at the University of Washington School of Law while advocating for the recognition of our lived experiences as the first in our families to pursue a legal education."
First Generation Leaders in pre-Law,FGLL ,"Academic, Graduate/Professional, Law, Political/Social Action","We are an undergraduate student pre-law organization at the University of Washington founded by first-generation students looking to expand access to professional, educational, and networking opportunities for underrepresented students interested in law.",A community amongst traditionally underserved and underrepresented students seeking to pursue a career in law or a J.D. We hope to provide students with exposure to diverse careers within the legal and public policy space along with free and open access to a network of support and resources to help students succeed in their pre-law careers.
First Love at UW,First Love,Religious/Spiritual,The purpose of the FL@UW includes the following: - To give students an opportunity to find Christ in their youth at the University of Washington. - To offer a platform for training students to serve Christ at the,"The purpose of the FL@UW includes the following: - To give students an opportunity to find Christ in their youth at the University of Washington. - To offer a platform for training students to serve Christ at the University of Washington, - To teach not just the basics of Christianity but also give students an opportunity to do God's work and become well-seasoned leaders at The University of Washington. - To offer an opportunity for students to practice what they learn, and keep them walking in the Lord at The University of Washington. -Service every Sunday @11am in Denny Hall-"
First Nations at UW,FN@UW,Cultural/International,First Nations at the University of Washington is dedicated to the advancement and increasing the visibility of the Native American and Alaska Native student population on campus.,"First Nations at the University of Washington is one of the largest Native American and Alaska Native student organizations on campus. We host events both on- and off-campus with the intention of educating the community about Native cultures, spreading awareness to issues affecting the Native community and upholding our respective customs and traditions. We are known for our annual spring powwow which brings together Natives from across the United States and Canada for this special event. The entire community, both Native and non-Native, stands to benefit from the work we do because Native visibility and cultural mindedness are important and crucial to our progression into a more open-minded and accepting society. Please visit our website and social media pages below for updates. First Nations will be holding in person meetings and events. All are welcome!"
Fishing Club @ UW,,"Recreation, Special Interest, Sports","Fishing Club is a student group at the University of Washington that brings together anglers of all skill levels. We organize fishing trips, share knowledge, and encourage responsible fishing practices in the Seattle area.",
Fitted.,,Special Interest,fitted. strives to establish a cohesive and inclusive platform for the fashion-minded at the University of Washington by cultivating greater connections in the community through campus-wide events and meaningful online presence.,"Created in September of 2020, fitted. started off as an outfit inspiration instagram page, featuring students and alumni from the University of Washington. Since then, the page has transcended it&rsquo;s original intent, becoming a creative collective hosting largescale events, creating editorials, marketing campaigns and social media content."
Floor Huskies,,"Performing, Recreation, Sports",Floor Huskies is a club meant to promote and foster a space for breaking (breakdancing) on campus through teaching classes and hosting practices.,"Floor Huskies (formerly Husky Break Club) is an organization that focuses on promoting breaking (breakdancing) at the University of Washington. Classes are held on Mondays at 7 PM and practices on Thursdays at 7 PM, both in Mary Gates Hall. All levels welcome. Check out the instagram page @uwfloorhuskies for more details and feel free to reach out with questions."
Formerly Incarcerated Scholars at UW.,,"Cultural/International, Law, Political/Social Action, Special Interest","Our aim is to create a support group for students at UW who have been justice-impacted. It will be a place where students can lean on one another, and share resources.",
